titleId,title,writers,weekday,age_rating,brief_text,interest_count,total_episodes,status,hashtags
820888,먹뀌싸,김숭늉 (글) _1bovi / 박만사 (글) ptjcomics / 팀 숭늉 (그림) 374928,45화,15세 이용가,우연히 300년 동안 봉인돼있던 '지옥귀'가 세상에 나온다.지옥귀의 목표는 인간세상과 지옥을 연결하는 문을 여는 것!그리고 요괴들의 천적 '먹귀사'는 그런 지옥귀와 맞서 싸운다.왜소한 체격의 왕따 '오구영'의 몸을 빌려서!,"89,160",총 45화,휴재,#액션 #오컬트판타지 #자극적인 #동양 #소년물 #크리처 #참교육 #성장물
813180,맞바람을 핀다는 건,청푸름 (글) 369949 / 팀 우사 (그림) 368862 / 손세희 (원작) 368861,100화 완결,15세 이용가,"“어려서는 아버지인 내 말에, 결혼한 뒤에는 네 남편의 말에 순종하는 것. 그게 챈들러가의 장녀인 네가 해야 하는 일이란다.”평생 순종적인 딸로 자라온 스칼렛.아버지의 명령에 따라 헌팅턴 공작과 결혼하기 위해 수도로 올라간다.하지만 약혼자에겐 이미 내연녀가 있었고, 스칼렛은 둘 사이를 감추기 위한 가림막으로 선택되었을 뿐.결혼식 전날, 스칼렛은 남편이 내연녀를 달래며 자신에 대해 하는 말을 엿듣는다.“그 여자는 그냥 임신을 위한 도구일 뿐이야.”아버지가 이 모든 사실을 알면서도 남편에게 자신을 팔아넘겼다는 것을 알게 된 스칼렛. 결혼식 전날 밤. 스칼렛은 웨딩드레스를 찢으며 다짐한다.“시키는 대로 착하게 살면, 그 대가로 사랑을 받을 수 있다고 믿었다.나는 더 이상 그런 거짓말에 속지 않을 것이다.”남편에게서 벗어나 자유를 찾기 위해, 스칼렛은 긴 준비를 시작한다.바람에는 맞바람으로 응수하고, 내게 접근하는 남자들을 이용해 남편에게 복수하리라!그런데 어째 접근하는 남자들이….미모의 기사, 황위계승권이 가장 높다는 황족, 남편의 절친한 친구까지…?!복수와 자유, 스칼렛은 두 가지 열매를 모두 먹을 수 있을까?!","189,733",총 100화,완결,#로맨스 #사이다 #서양 #마법 #왕족/귀족 #무심남 #나쁜남자 #사연녀
800585,소름일기,siAm (글/그림) 274816,115화 완결,15세 이용가,"'내 눈'에는 보이지만 남들에게는 보이지 않는 '그것'들.어릴 적부터 남들과는 조금 다른 체질로 인해 겪었던 남들에게 말 못할 여러 기이한 경험들을오래된 일기장 넘기듯 풀어내는 실화기반 심령 공포썰.<모태솔로 수용소>,<미드나잇체이서> 작가의 신작!","63,017",총 115화,완결,#스릴러 #고자극스릴러 #자극적인 #시리어스 #후회물 #오컬트 #괴담 #완결무료
741467,너의 미소가 함정,앵고 (글/그림) aen9o,149화,전체연령가,살기 뿜뿜 살벌한 여자 차백합과 빛나는 외모를 가린 남자 안기유!운명처럼 짝이 된 둘의 난감 빠방 스쿨 라이프!,"283,354",총 149화,휴재,#로맨스 #설렘폭발 #청춘 #공식미남 #대형견남 #순정남 #소심녀 #다정녀
814587,펜홀더,이은재 (글/그림) _mbour,65화,12세 이용가,"천재적인 재능으로 모든 스포츠를 씹어먹는 고등학생 한이연.어떤 스포츠를 해도 패배를 몰랐던 그에게, 벽을 느끼게 해준 한 탁구 고수가 등장하는데...승부욕에 불타오른 이연은 사라져가는 '펜홀더' 라켓으로 복수를 꿈꾼다!","104,861",총 65화,휴재,#스포츠 #열혈 #우정 #라이벌 #청춘 #성장물 #학원물 #성장드라마
804329,약탈 신부,팀 카푸치노 (글/그림) 360331 / 강희자매 (원작) 360332,100화 완결,15세 이용가,베르크 남작가의 사생아 루시나에게 일생일대의 기회가 찾아온다. 드래곤의 땅 타야르를 통치하는 대왕이자 정복자 하칸. 그의 약탈 신부가 되는 조건으로 주어진 또 다른 삶의 기회. 비록 반쪽짜리 자유라도 절실했던 루시나는 그렇게 미지의 세계로 발을 내딛게 되는데… 절망의 끝을 밝혀 준 단 하나의 사랑 이야기.,"210,750",총 100화,완결,#로맨스 #서양 #동양 #마법 #왕족/귀족 #공식미남 #아방녀 #소심녀 #순진녀
784845,"울어주세요, 황태자님",Duck담 (글/그림) 351171,91화 완결,전체연령가,"소문이 안 좋은 황태자의 비 후보가 된 대공가의 영애 '리베라'. 황태자와 최악의 첫 만남 이후 이 결혼을 피하기 위한 한 가지 방법을 듣는다.바로 황태자가 가진 기적의 힘, 축복의 눈물을 얻어내는 것.그런데 황태자는 찔러도 눈물 한 방울 나오지 않는 사람이었는데…","142,976",총 91화,완결,#로맨스 #서양 #왕족/귀족 #무심남 #능글남 #나쁜남자 #명랑녀 #철벽녀
819206,형사본색,신철 (글) 373518 / 펜촉 (그림) _vbot2,50화 완결,15세 이용가,"형사 한태양이 특진하던 날, 아내가 자살하고 딸은 희귀병 판정을 받았다.감당할 수 없는 딸의 치료비에 절망하던 태양은 압수물 보관센터인 '제로하우스'에 수 천억원의 가치를 지닌 훈민정음 해례본이 숨겨져 있다는 것을 알게 되고,딸의 병원비를 위해 의도적으로 제로하우스에 좌천되어 훈민정음 해례본을 탈취하려 하는데...!","17,918",총 50화,완결,#액션 #시리어스 #현대 #동양 #범죄 #두뇌싸움 #느와르 #완결액션
810561,왕자님 짠내밥상,쑥 (글/그림) _nbp68,76화 완결,전체연령가,오승지는 자신을 버린 엄마를 찾기 위해 베르사유 궁전 201호를 찾게 된다. 그곳은 궁전이 아닌 허름하고 낡은 고시원이었고 엄마가 아닌 '브루봉 그룹 4대 후계자'로 소문난 루이가 살고 있었다. 그리고 그들의 하루하루 먹고살기 위한 짠내 나는 생존 요리가 펼쳐진다.,"10,478",총 76화,완결,#드라마 #현대 #가족 #능력남 #명랑녀 #병맛 #가벼운 #개그 #성장물
819462,피폐물 남주에게 꽃길을,지구본사탕 (글) 373742 / 피디님라부 (그림) 373743,64화 완결,전체연령가,"피폐물 소설 속으로 빙의해버렸다.그것도 내 최애가 흑막이 되기 직전의 시점으로!이대로 가다가는 내 최애가 흑막이 되고 죽는 게 확정된 상황.최애를 죽게 둘 수는 없으니,최선을 다해서 지켜주자. 어떻게? 결혼해서!","39,490",총 64화,완결,#로맨스 #서양 #결혼생활 #환생 #왕족/귀족 #소심남 #명랑녀 #직진녀
778410,사기캐,후렛샤 (글) _wboqc / 레이저 (그림) 373364,51화 완결,전체연령가,"천사와 악마사이에서 태어난 하이브리드,그 중에서도 최고의 혈통을 가진 그랜드 하이브리드는각성하는 순간 우주를 날려버릴 수 있는 힘을 가졌다는전설로 내려오는 “사기캐”라는 존재가 된다.소박하고 평범한 삶만을 목표로 하던 '재익'의 바람과는 다르게마침내 천사와 악마가 궁극의 사기캐 재익에게 찾아와그를 자신들의 편으로 만들기위한 전략을 펼친다.과연 재익은 천사로 각성될 것인가 악마로 각성될 것인가!","43,554",총 51화,완결,#액션 #사이다 #판타지개그 #신화 #판타지 #병맛 #개그 #요즘핫한추천작
772764,죽지 않으려면,파래 (글) _lh5z8 / 임진국 (그림) realsoup,161화,15세 이용가,고등학생 임다준은 학교에서 늘상 괴롭힘을 당하는 게 일상이었다. 삶을 포기하기 직전 우연히 본 티비 속 동급생 살해범의 인터뷰에 감명을 받고 복수를 결심하게 된다.복수는 성공했지만 삶은 원치않는 방향으로 흘러가게 되고.. 학교에서 나온 임다준은 범상치않은 가출팸에 들어가게 된다.가출청소년 임다준은 더이상 학교 안 일진들에게 시달리지 않게 되었지만 그보다 잔혹한 길거리의 양아치들을 상대로 살아남아야만 한다.삶의 끝자락에 내몰린 고등학생 임다준의 길거리 생존기!,"369,116",총 161화,휴재,#액션 #사이다 #학원액션 #성장물 #환골탈태 #격투기 #블루스트링 #학원물
