titleId,title,writers,weekday,upload_day,age_rating,brief_text,interest_count,total_episodes,status,hashtags
796251,홍 의관의 은밀한 비밀,유계진 (글/그림)/ 서이나 (원작),일요웹툰,홍 의관의 은밀한 비밀,12세 이용가,사람의 명줄을 보는 신비한 눈을 가진 천재 의원 홍계동. 사실 그는 여인이다.<br>어느 날 부득이한 사정으로 샌님이라 여긴 사내에게 술값을 떠넘기다 딱 걸리고 말았으니.<br>명줄조차 보이지 않는 이 위험한 사내에게 얽혀 내의원까지 입성하게 되는데!<br><br>그런데 샌님인 줄 알았던 그가 무려 이 나라의 주상 전하라고...?<br><br><br><br>,"78,256",총 86화,연재 중,#로맨스 #성별반전 #퓨전사극 #소설원작
819426,다크 판타지 속 성기사,네임드 (글)/ 숨숨 (그림)/ 중고루 (원작),일요웹툰,다크 판타지 속 성기사,15세 이용가,극악 난이도를 자랑하는 멸망 위기의 중세 다크 판타지 배경의 게임 속에 떨어진지 2년. 아이덴은 성기사로서 분투하여 49명의 악마를 멸하는 것에 성공 성기사로 임명 받으며 드디어 게임 속 메인 스토리를 진행할 수 있게 된다. 그러나 플레이를 하면 할수록 변칙이 생기며 틀어지는 스토리와 NPC들과의 관계. 수많은 변칙에도 불구하고 게임 속 멸망을 막고 자신도 살아남을 수 있을까?<br><br><br><br><br><br><br><br><br><br>,"26,966",총 49화,연재 중,#판타지 #시리어스 #신화 #게임 #상태창 #모험 #크리처 #용사 #게임판타지
786082,여우애담,이도광 (글/그림),일요웹툰,여우애담,15세 이용가,인간을 멸시하는 구미호 연은 우연히 인간인 동이의 도움을 받아 사고를 면하게 된다.<br><br>본디 구미호란 은혜를 입으면 갚아야만 하는 존재.<br>연은 보은을 위해 하루도 거르지 않고 동이를 찾아가고 동이는 그런 연이 부담스럽기만 하다.<br><br>절대 가까워질 수 없을 것 같던 둘은 서로의 상처와 결핍을 알고 채워주며 좋은 감정을 키워나가는데...<br><br>살아온 환경도 종족도 사랑하는 방식마저 다른 둘. 구미호와 인간의 사랑은 과연 행복한 결말로 맺어질 수 있을까?<br><br><br><br><br><br><br><br>,"129,653",총 127화,연재 중,#로맨스 #동양풍로맨스 #동양 #악역이주인공 #공식미남 #사연남 #햇살남
827386,F컷,서다일 (글/그림),"수, 일 연재",F컷,15세 이용가,최소 분량 20컷 보장!<br>단편 4컷 릴레이 개그 만화 'F컷'<br><br><br><br><br><br><br>,"11,166",총 35화,연재 중,#개그 #열혈병맛개그 #블랙코미디 #병맛 #가벼운 #4컷만화 #4차원
832317,감정전이,향유 (글/그림),일요웹툰,감정전이,12세 이용가,어렸을 때의 트라우마로 감정 표현이 어려운 문창과 새내기 공수아.<br>소설가를 꿈꾸고 있지만 꿈도 인간관계도 감정이란 놈한테 발목 잡히기 일쑤!<br>그러던 어느 날 수아의 고요한 세계에 체대생 선배님이 뚝 하고 떨어지는데<br>이 선배님 뭔가 이상하다? 덩치는 산만한 사람이 왜 자꾸 우는 거지?<br>감정이 둔감한 여자와 감정이 예민한 남자의 0단계부터 시작하는 성장 드라마!<br><br><br><br><br><br><br><br>,"31,159",총 8화,연재 중,#로맨스 #캠퍼스 #청춘 #감성 #로맨스 #성장물 #캠퍼스로맨스 #청춘로맨스
828424,검은 사슬,미세초 (글)/ J1 (그림)/ 유세라 (원작),일요웹툰,검은 사슬,15세 이용가,황제의 반려가 자살했다.<br><br>‘류펠‘ 제국의 황제 흑룡 아켈란스.<br>그런 아켈란스를 보고 첫눈에 반한 하솔란은 그에게 14년이나 충성하고 헌신하였지만 결국 아무것도 보답받지 못한 채 비참하게 버려졌다.<br>지난 삶을 한탄하며 황제가 내린 비단으로 목을 매고 자살하였지만 눈을 뜬 곳은 14년 전 용을 처음 만났던 용연으로 향하는 마차 안이었다.<br><br>무슨 짓을 해도 자꾸만 14년 전의 ‘그날’로 돌아가는 하솔란 오데어.<br>결국 자신을 비참하게 버린 그 남자를 다시 마주하고 말았다.<br>그러나 깨어난 흑룡 아켈란스는 자신이 알던 그 남자가 아니었다.<br><br>“넌 내 반려가 맞다.”<br>“네가 싫다면 황제도 하지 않을게.”<br><br>지나치게 냉정하고 차분하던 그 황제는 이제 황금색 눈을 번뜩이며 그녀를 놔주지 않는다.<br><br><br><br><br><br><br><br><br><br>,"47,304",총 15화,연재 중,#로맨스 #짐승남 #집착물 #후회물 #세계관 #회귀 #재회 #인외존재 #로판
798303,108명의 그녀들,고송 (글/그림)/ 레죵 (원작),일요웹툰,108명의 그녀들,전체연령가,위대한 마녀이자 개국 공신인 황후 '데사'는 황제의 진심을 시험하기 위해 똑같은 얼굴의 108명 사이에서 자신을 찾아 내라는 내기를 제안한다.<br>한편 데사를 흠모하던 어린 마녀 '아리트'는 데사를 막기 위해 몰래 내기에 참여하는데?!<br><br><br><br><br><br><br><br><br>,"77,920",총 89화,연재 중,#로맨스 #서양 #왕족/귀족 #공식미남 #군림녀 #직진녀 #능력녀 #서바이벌
821085,무능력자,치킨무 (글)/ 드쾅 (그림),일요웹툰,무능력자,15세 이용가,이능력 리그에 밀려 망해버린 종합 격투기를 살리기 위해 <br>과거 영구제명당한 챔피언 황광호를 불러들인 세연.<br>왜냐면 그는 '흥행의 신' 이니까. 이능VS무능 구분은 이 남자 앞에서 무의미하다.<br>이능에 도달한 기술 트리키한 싸움 방식.<br><br>하지만...<br>이 자식 정상이 아니다<br><br><br><br><br><br><br> 지상최대공모전<br>,"86,318",총 36화,휴재,#액션 #사이다 #액션판타지 #이능력 #배틀 #스포츠 #2022 지상최대공모전
821050,"그 머리 긴 선배, 이름이 뭐더라?",불관후 (글/그림),일요웹툰,"그 머리 긴 선배, 이름이 뭐더라?",12세 이용가,장발남을 좋아하는 '송솔'은 첫사랑이자 학교의 유일한 장발남이었던 '옥석'이 <br>2학기 개강 첫날 머리를 빡빡 밀고 나타나자 깊은 절망에 빠진다.<br>그러나 그것도 잠시 미친 장발남(?) '유현'과의 소개팅으로 송솔은 위기를 맞게 되는데...<br>오로지 장발남의 장발남에 의한 장발남을 위한 캠퍼스 로맨스 코미디!<br><br><br><br><br><br><br><br><br>,"107,663",총 35화,휴재,#로맨스 #순진남 #리얼로맨스 #캠퍼스 #청춘 #능글남 #얼빠녀 #철벽녀
821408,연애일기,Hanna (글/그림),"수, 일 연재",연애일기,전체연령가,"""같이 쌓아가고 싶어. 너와 나의 시간 안에."" <br><br>아직은 연애에 서투른 6명의 청춘들. <br>연인이라는 관계 안에서 서로를 이해하고 생각을 나누며 마침내 자기 자기 자신을 제대로 바라보게 된다.<br><br>도전만화에서 정식연재까지 1686일 40464시간 2427840분. <br>2024년 2월 13일 마침내 오픈하다.<br><br><br><br><br><br><br><br><br>","44,794",총 75화,연재 중,#로맨스 #리얼로맨스 #감성적인 #청춘 #성장물 #무해한 #햇살캐 #다정남
